cell_index,status,classes,land_TA,land_NP,land_PD,land_AREA_MN,land_LPI,land_ED,land_SHAPE_MN,cls_1_CA,cls_1_PLAND,cls_1_NP,cls_1_PD,cls_1_AREA_MN,cls_1_LPI,cls_1_ED,cls_1_PERIM_MN,cls_1_SHAPE_MN,cls_1_CORE_MN,cls_6_CA,cls_6_PLAND,cls_6_NP,cls_6_PD,cls_6_AREA_MN,cls_6_LPI,cls_6_ED,cls_6_PERIM_MN,cls_6_SHAPE_MN,cls_6_CORE_MN,cls_4_CA,cls_4_PLAND,cls_4_NP,cls_4_PD,cls_4_AREA_MN,cls_4_LPI,cls_4_ED,cls_4_PERIM_MN,cls_4_SHAPE_MN,cls_4_CORE_MN,cls_10_CA,cls_10_PLAND,cls_10_NP,cls_10_PD,cls_10_AREA_MN,cls_10_LPI,cls_10_ED,cls_10_PERIM_MN,cls_10_SHAPE_MN,cls_10_CORE_MN,cls_3_CA,cls_3_PLAND,cls_3_NP,cls_3_PD,cls_3_AREA_MN,cls_3_LPI,cls_3_ED,cls_3_PERIM_MN,cls_3_SHAPE_MN,cls_3_CORE_MN,cls_7_CA,cls_7_PLAND,cls_7_NP,cls_7_PD,cls_7_AREA_MN,cls_7_LPI,cls_7_ED,cls_7_PERIM_MN,cls_7_SHAPE_MN,cls_7_CORE_MN,cls_11_CA,cls_11_PLAND,cls_11_NP,cls_11_PD,cls_11_AREA_MN,cls_11_LPI,cls_11_ED,cls_11_PERIM_MN,cls_11_SHAPE_MN,cls_11_CORE_MN,cls_5_CA,cls_5_PLAND,cls_5_NP,cls_5_PD,cls_5_AREA_MN,cls_5_LPI,cls_5_ED,cls_5_PERIM_MN,cls_5_SHAPE_MN,cls_5_CORE_MN,cls_9_CA,cls_9_PLAND,cls_9_NP,cls_9_PD,cls_9_AREA_MN,cls_9_LPI,cls_9_ED,cls_9_PERIM_MN,cls_9_SHAPE_MN,cls_9_CORE_MN,cls_2_CA,cls_2_PLAND,cls_2_NP,cls_2_PD,cls_2_AREA_MN,cls_2_LPI,cls_2_ED,cls_2_PERIM_MN,cls_2_SHAPE_MN,cls_2_CORE_MN,cls_8_CA,cls_8_PLAND,cls_8_NP,cls_8_PD,cls_8_AREA_MN,cls_8_LPI,cls_8_ED,cls_8_PERIM_MN,cls_8_SHAPE_MN,cls_8_CORE_MN,dist_m_estrada,dist_m_mineracao,dist_m_hidrografia,dist_m_indigena,dist_m_lixao,pop_mean,pop_sum,built_mean,built_sum,alerts,n_alerts
0,ok,['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)'],12500.0,1.0,0.2439024390243902,12500.0,0.3048780487804878,1.4634146341463414,1.3416407864998738,12500.0,0.3048780487804878,1.0,0.2439024390243902,12500.0,0.3048780487804878,1.4634146341463414,600.0,1.3416407864998738,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159086.8032002478,160955.43073062992,193.74778447203371,207626.1369832657,250047.2690422434,,0.0,,0.0,[],0
1,ok,['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)'],2997500.0,1.0,0.25,2997500.0,74.9375,18.0,1.039663768064234,2997500.0,74.9375,1.0,0.25,2997500.0,74.9375,18.0,7200.0,1.039663768064234,2807500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158030.3793375023,159083.4662660905,1403.0686452709183,206158.4625628304,248938.05784915356,0.0,0.0,0.0,0.0,[],0
2,ok,['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)'],1145000.0,1.0,0.2439024390243902,1145000.0,27.92682926829269,13.170731707317072,1.261627146493194,1145000.0,27.92682926829269,1.0,0.2439024390243902,1145000.0,27.92682926829269,13.170731707317072,5400.0,1.261627146493194,1012500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156992.3266743804,157214.6551590727,1819.216773132653,204699.8060916182,247840.02206248496,0.0,0.0,0.0,0.0,[],0
3,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'VEGETACAO_NATURAL_FLORESTAL_SECUNDARIA(6)']",745000.0,5.0,1.2195121951219512,149000.0,17.74390243902439,12.682926829268292,1.0834183985536396,727500.0,17.74390243902439,1.0,0.2439024390243902,727500.0,17.74390243902439,10.0,4100.0,1.2017312826091258,575000.0,17500.0,0.426829268292683,4.0,0.975609756097561,4375.0,0.1829268292682927,2.682926829268293,275.0,1.053840177539768,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153569.93043146387,151628.30695302773,546.7220672466783,200313.42682732013,244614.46442638512,0.0,0.0,0.0,0.0,[],0
4,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'VEGETACAO_NATURAL_FLORESTAL_SECUNDARIA(6)']",2172500.0,6.0,1.5,362083.3333333333,53.0625,18.0,1.011466259450008,2122500.0,53.0625,1.0,0.25,2122500.0,53.0625,13.75,5500.0,0.9437975567000478,1950000.0,50000.0,1.25,5.0,1.25,10000.0,1.0,4.25,340.0,1.025,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151748.29849847502,149773.30211687647,737.7278036369104,198795.96316458765,243562.6328007458,0.0,0.0,0.0,0.0,[],0
5,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'VEGETACAO_NATURAL_FLORESTAL_SECUNDARIA(6)']",2107500.0,2.0,0.4878048780487805,1053750.0,51.09756097560976,17.804878048780488,1.2494395420272153,2095000.0,51.09756097560976,1.0,0.2439024390243902,2095000.0,51.09756097560976,16.341463414634145,6700.0,1.1572382975545568,1902500.0,12500.0,0.3048780487804878,1.0,0.2439024390243902,12500.0,0.3048780487804878,1.4634146341463414,600.0,1.3416407864998738,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149931.21310000864,147922.07605541835,1101.0935599662516,197287.10290783987,242522.7329283906,0.0,0.0,0.0,0.0,[],0
6,ok,['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)'],3067500.0,1.0,0.2439024390243902,3067500.0,74.8170731707317,17.804878048780488,1.042006871910351,3067500.0,74.8170731707317,1.0,0.2439024390243902,3067500.0,74.8170731707317,17.804878048780488,7300.0,1.042006871910351,2875000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148118.84156344878,146074.77243554656,37.68686267568145,195787.04496723227,241494.91894712803,0.0,0.0,0.0,0.0,[],0
7,ok,['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)'],2865000.0,1.0,0.2439024390243902,2865000.0,69.8780487804878,19.26829268292683,1.1668224777530976,2865000.0,69.8780487804878,1.0,0.2439024390243902,2865000.0,69.8780487804878,19.26829268292683,7900.0,1.1668224777530976,2620000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146311.3590619534,144231.54197209576,937.5995168042136,194295.99321713613,240479.34582309637,0.0,0.0,0.0,0.0,[],0
8,ok,['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)'],1285000.0,2.0,0.5,642500.0,32.0625,16.5,1.2064172571013567,1285000.0,32.125,2.0,0.5,642500.0,32.0625,16.5,3300.0,1.2064172571013567,562500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144508.94904819477,142392.54284266513,604.9825956396134,192814.1565950641,239476.16928982496,0.0,0.0,0.0,0.0,[],0
9,ok,"['VEGETACAO_NATURAL_FLORESTAL_PRIMARIA(1)', 'VEGETACAO_NATURAL_FLORESTAL_SECUNDARIA(6)']",1337500.0,2.0,0.4878048780487805,668750.0,32.37804878048781,18.78048780487805,1.291982541800012,1327500.0,32.37804878048781,1.0,0.2439024390243902,1327500.0,32.37804878048781,17.804878048780488,7300.0,1.5839650836000236,1025000.0,10000.0,0.2439024390243902,1.0,0.2439024390243902,10000.0,0.2439024390243902,0.975609756097561,400.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157397.85669325214,160266.39529074755,162.41420306363736,206277.5571383056,248389.24839657667,0.0,0.0,0.0,0.0,[],0
